,date,open,close,high,low,volume,code
0,2015-12-07,100.0,100.01,100.015,99.999,2699495.0,511990
1,2015-12-08,100.007,100.009,100.009,100.003,1668097.0,511990
2,2015-12-09,100.002,99.998,100.006,99.993,2730491.0,511990
3,2015-12-10,99.996,99.998,100.007,99.99,2251831.0,511990
4,2015-12-11,99.997,100.004,100.011,99.996,2083951.0,511990
5,2015-12-14,99.987,99.997,99.999,99.985,2082159.0,511990
6,2015-12-15,100.002,99.997,100.003,99.994,3252971.0,511990
7,2015-12-16,99.998,100.001,100.002,99.995,1652758.0,511990
8,2015-12-17,100.001,100.001,100.004,99.999,1679972.0,511990
9,2015-12-18,100.002,100.012,100.013,100.002,1682251.0,511990
10,2015-12-21,99.998,99.992,100.0,99.992,1806947.0,511990
11,2015-12-22,99.991,99.986,99.994,99.981,2433775.0,511990
12,2015-12-23,99.982,99.993,99.997,99.952,2051862.0,511990
13,2015-12-24,99.992,99.988,99.995,99.986,1580037.0,511990
14,2015-12-25,100.001,99.999,100.005,99.998,2276515.0,511990
15,2015-12-28,99.999,99.998,100.0,99.991,2129394.0,511990
16,2015-12-29,99.997,99.999,100.003,99.993,2910843.0,511990
17,2015-12-30,99.999,100.002,100.005,99.988,3767953.0,511990
18,2015-12-31,100.008,100.015,100.019,100.007,3040963.0,511990
19,2016-01-04,99.997,99.994,99.997,99.97,1236753.0,511990
20,2016-01-05,99.975,99.994,99.998,99.92,1146666.0,511990
21,2016-01-06,99.988,100.006,100.007,99.988,922621.0,511990
22,2016-01-07,100.001,100.01,100.013,99.998,1253869.0,511990
23,2016-01-08,100.0,100.024,100.028,99.998,1169773.0,511990
24,2016-01-11,100.004,100.011,100.014,100.003,1224987.0,511990
25,2016-01-12,100.004,100.009,100.012,100.002,932857.0,511990
26,2016-01-13,100.005,100.007,100.01,100.0,904591.0,511990
27,2016-01-14,100.005,100.007,100.009,100.002,952687.0,511990
28,2016-01-15,100.009,100.015,100.018,100.007,635560.0,511990
29,2016-01-18,100.004,100.003,100.005,99.996,915923.0,511990
30,2016-01-19,100.001,99.999,100.002,99.99,891949.0,511990
31,2016-01-20,99.999,99.993,100.002,99.988,1010760.0,511990
32,2016-01-21,99.992,99.972,99.996,99.971,1271181.0,511990
33,2016-01-22,99.99,99.999,100.002,99.981,984490.0,511990
34,2016-01-25,99.99,99.997,99.998,99.988,950774.0,511990
35,2016-01-26,99.994,100.0,100.001,99.994,966899.0,511990
36,2016-01-27,99.999,99.998,100.001,99.95,1283638.0,511990
37,2016-01-28,99.997,99.999,100.004,99.997,1435515.0,511990
38,2016-01-29,100.006,100.013,100.016,100.003,1319753.0,511990
39,2016-02-01,100.003,100.002,100.004,99.994,899660.0,511990
